iter	Passed	Remaining
405	6734	9852
406	6750	9835
407	6766	9818
408	6784	9802
409	6799	9785
410	6815	9767
411	6830	9748
412	6846	9731
413	6863	9715
414	6879	9697
415	6894	9678
416	6910	9661
417	6925	9642
418	6940	9624
419	6955	9605
420	6972	9588
421	6987	9570
422	7003	9552
423	7018	9534
424	7035	9518
425	7052	9502
426	7068	9485
427	7084	9468
428	7100	9450
429	7115	9431
430	7130	9413
431	7146	9396
432	7162	9379
433	7181	9365
434	7198	9350
435	7215	9333
436	7231	9316
437	7246	9298
438	7262	9280
439	7278	9263
440	7294	9246
441	7312	9231
442	7328	9214
443	7344	9196
444	7359	9178
445	7375	9161
446	7391	9144
447	7406	9125
448	7421	9107
449	7437	9090
450	7452	9072
451	7468	9054
452	7484	9037
453	7500	9020
454	7519	9006
455	7535	8989
456	7550	8971
457	7566	8954
458	7583	8938
459	7598	8919
460	7613	8902
461	7629	8884
462	7644	8866
463	7660	8849
464	7676	8832
465	7692	8814
466	7707	8796
467	7723	8779
468	7738	8761
469	7753	8743
470	7769	8726
471	7784	8708
472	7800	8691
473	7816	8674
474	7832	8656
475	7847	8638
476	7862	8621
477	7879	8605
478	7895	8587
479	7912	8571
480	7928	8554
481	7943	8536
482	7958	8519
483	7974	8501
484	7991	8485
485	8006	8468
486	8022	8451
487	8040	8435
488	8054	8417
489	8070	8400
490	8086	8383
491	8102	8365
492	8117	8348
493	8134	8331
494	8149	8314
495	8166	8297
496	8182	8281
497	8197	8263
498	8214	8247
499	8230	8230
500	8247	8214
501	8264	8198
502	8288	8189
503	8306	8174
504	8327	8163
505	8346	8148
506	8366	8135
507	8383	8119
508	8400	8103
509	8416	8086
510	8432	8069
511	8449	8053
512	8464	8035
513	8480	8018
514	8497	8002
515	8513	7985
516	8529	7968
517	8545	7951
518	8561	7935
519	8578	7918
520	8595	7902
521	8611	7885
522	8628	7869
523	8644	7852
524	8661	7836
525	8677	7819
526	8692	7801
527	8708	7784
528	8723	7767
529	8739	7750
530	8755	7733
531	8771	7716
532	8786	7698
533	8802	7681
534	8817	7664
535	8833	7647
536	8850	7630
537	8866	7613
538	8881	7596
539	8897	7579
540	8914	7563
541	8929	7545
542	8946	7529
543	8961	7512
544	8976	7494
545	8993	7477
546	9009	7461
547	9025	7444
548	9041	7427
549	9058	7411
550	9074	7394
551	9090	7377
552	9105	7360
553	9122	7343
554	9138	7327
555	9154	7310
556	9170	7293
557	9188	7277
558	9205	7262
559	9224	7248
560	9240	7231
561	9256	7214
562	9272	7197
563	9288	7180
564	9305	7164
565	9321	7147
566	9338	7131
567	9354	7114
568	9371	7098
569	9387	7081
570	9404	7065
571	9420	7049
572	9436	7032
573	9452	7015
574	9468	6998
575	9484	6981
576	9499	6964
577	9514	6946
578	9529	6929
579	9546	6912
580	9562	6896
581	9579	6879
582	9594	6862
583	9610	6845
584	9626	6828
585	9642	6811
586	9658	6795
587	9673	6778
588	9688	6760
589	9704	6743
590	9719	6726
591	9735	6709
592	9751	6692
593	9767	6676
594	9783	6659
595	9799	6642
596	9815	6625
597	9830	6608
598	9846	6591
599	9863	6575
600	9878	6558
601	9894	6541
602	9910	6525
603	9927	6508
604	9943	6491
605	9959	6475
606	9975	6458
607	9991	6441
608	10007	6425
609	10023	6408
610	10039	6391
611	10054	6374
612	10070	6357
613	10086	6341
614	10102	6324
615	10118	6307
616	10135	6291
617	10150	6274
618	10166	6257
619	10183	6241
620	10199	6224
621	10214	6207
622	10230	6190
623	10246	6173
624	10262	6157
625	10279	6141
626	10295	6124
627	10311	6107
628	10327	6091
629	10342	6074
630	10359	6057
631	10374	6040
632	10391	6024
633	10407	6008
634	10425	5992
635	10442	5976
636	10458	5960
637	10475	5943
638	10491	5926
639	10506	5910
640	10523	5893
641	10540	5877
642	10555	5860
643	10571	5843
644	10588	5827
645	10604	5811
646	10620	5794
647	10635	5777
648	10651	5760
649	10667	5743
650	10682	5726
651	10698	5710
652	10714	5693
653	10730	5677
654	10747	5660
655	10765	5645
656	10782	5629
657	10812	5619
658	10827	5602
659	10843	5585
660	10858	5568
661	10874	5552
662	10889	5535
663	10905	5518
664	10921	5501
665	10936	5484
666	10952	5468
667	10969	5451
668	10986	5435
669	11003	5419
670	11020	5403
671	11036	5386
672	11053	5370
673	11073	5355
674	11089	5339
675	11105	5322
676	11120	5305
677	11135	5288
678	11151	5271
679	11166	5254
680	11182	5238
681	11198	5221
682	11214	5205
683	11229	5188
684	11244	5171
685	11260	5154
686	11277	5138
687	11293	5121
688	11308	5104
689	11324	5088
690	11341	5071
691	11357	5055
692	11373	5038
693	11389	5022
694	11405	5005
695	11421	4988
696	11438	4972
697	11455	4956
698	11470	4939
699	11487	4923
700	11507	4908
701	11524	4892
702	11541	4876
703	11558	4859
704	11573	4842
705	11588	4825
706	11603	4809
707	11619	4792
708	11634	4775
709	11648	4757
710	11664	4741
711	11680	4724
712	11696	4707
713	11712	4691
714	11727	4674
715	11744	4658
716	11760	4641
717	11778	4625
718	11793	4609
719	11810	4593
720	11826	4576
721	11842	4559
722	11857	4543
723	11873	4526
724	11888	4509
725	11905	4493
726	11920	4476
727	11935	4459
728	11951	4442
729	11966	4426
730	11982	4409
731	11998	4392
732	12014	4376
733	12031	4360
734	12047	4343
735	12063	4327
736	12079	4310
737	12094	4293
738	12109	4276
739	12125	4260
740	12140	4243
741	12155	4226
742	12171	4210
743	12187	4193
744	12202	4176
745	12218	4160
746	12234	4143
747	12251	4127
748	12270	4111
749	12288	4096
750	12306	4080
751	12322	4063
752	12340	4047
753	12356	4031
754	12373	4015
755	12389	3998
756	12405	3982
757	12422	3965
758	12439	3949
759	12455	3933
760	12471	3916
761	12487	3900
762	12506	3884
763	12524	3868
764	12541	3852
765	12558	3836
766	12574	3819
767	12591	3803
768	12608	3787
769	12625	3771
770	12640	3754
771	12657	3738
772	12673	3721
773	12691	3705
774	12707	3689
775	12724	3673
776	12741	3656
777	12758	3640
778	12775	3624
779	12792	3608
780	12809	3591
781	12826	3575
782	12844	3559
783	12861	3543
784	12877	3527
785	12893	3510
786	12910	3494
787	12928	3478
788	12944	3461
789	12961	3445
790	12977	3428
791	12993	3412
792	13009	3395
793	13025	3379
794	13042	3363
795	13059	3346
796	13075	3330
797	13091	3313
798	13107	3297
799	13124	3281
800	13141	3264
801	13160	3249
802	13177	3232
803	13197	3217
804	13213	3200
805	13231	3184
806	13246	3168
807	13263	3151
808	13283	3136
809	13299	3119
810	13316	3103
811	13335	3087
812	13352	3071
813	13369	3054
814	13385	3038
815	13404	3022
816	13429	3008
817	13447	2991
818	13463	2975
819	13478	2958
820	13494	2942
821	13511	2925
822	13528	2909
823	13544	2893
824	13560	2876
825	13577	2860
826	13592	2843
827	13608	2826
828	13625	2810
829	13642	2794
830	13660	2778
831	13677	2761
832	13695	2745
833	13712	2729
834	13729	2713
835	13747	2696
836	13764	2680
837	13780	2663
838	13796	2647
839	13812	2630
840	13828	2614
841	13843	2597
842	13859	2581
843	13875	2564
844	13890	2547
845	13907	2531
846	13923	2515
847	13939	2498
848	13954	2481
849	13971	2465
850	13988	2449
851	14003	2432
852	14019	2416
853	14035	2399
854	14051	2383
855	14067	2366
856	14083	2350
857	14099	2333
858	14114	2316
859	14131	2300
860	14146	2283
861	14162	2267
862	14179	2250
863	14195	2234
864	14210	2217
865	14226	2201
866	14243	2184
867	14258	2168
868	14275	2151
869	14290	2135
870	14306	2118
871	14322	2102
872	14337	2085
873	14353	2069
874	14368	2052
875	14383	2036
876	14398	2019
877	14413	2002
878	14429	1986
879	14446	1969
880	14463	1953
881	14478	1937
882	14493	1920
883	14509	1904
884	14525	1887
885	14540	1870
886	14556	1854
887	14571	1837
888	14586	1821
889	14602	1804
890	14618	1788
891	14633	1771
892	14648	1755
893	14664	1738
894	14678	1722
895	14693	1705
896	14708	1688
897	14724	1672
898	14743	1656
899	14760	1640
900	14776	1623
901	14793	1607
902	14809	1590
903	14825	1574
904	14841	1557
905	14858	1541
906	14874	1525
907	14889	1508
908	14905	1492
909	14920	1475
910	14937	1459
911	14953	1442
912	14969	1426
913	14985	1410
914	15000	1393
915	15017	1377
916	15032	1360
917	15047	1344
918	15063	1327
919	15079	1311
920	15094	1294
921	15110	1278
922	15126	1261
923	15143	1245
924	15159	1229
925	15176	1212
926	15192	1196
927	15210	1180
928	15226	1163
929	15241	1147
930	15257	1130
931	15273	1114
932	15288	1097
933	15305	1081
934	15320	1065
935	15336	1048
936	15352	1032
937	15367	1015
938	15382	999
939	15398	982
940	15413	966
941	15429	949
942	15444	933
943	15459	917
944	15474	900
945	15490	884
946	15507	867
947	15523	851
948	15539	835
949	15554	818
950	15570	802
951	15586	785
952	15602	769
953	15620	753
954	15636	736
955	15652	720
956	15669	704
957	15685	687
958	15701	671
959	15716	654
960	15732	638
961	15746	622
962	15762	605
963	15777	589
964	15793	572
965	15809	556
966	15826	540
967	15842	523
968	15859	507
969	15875	490
970	15890	474
971	15906	458
972	15921	441
973	15937	425
974	15952	409
975	15967	392
976	15983	376
977	15999	359
978	16014	343
979	16029	327
980	16044	310
981	16060	294
982	16075	278
983	16091	261
984	16106	245
985	16121	228
986	16137	212
987	16152	196
988	16167	179
989	16182	163
990	16197	147
991	16212	130
992	16228	114
993	16244	98
994	16260	81
995	16275	65
996	16291	49
997	16306	32
998	16321	16
999	16337	0
